1st Q,1st Q,1st Q,1st Q,1st Q,1st Q
Time,Orlando,Unnamed: 2_level_1,Score,Unnamed: 4_level_1,Atlanta
12:00.0,Jump ball: W. Carter vs. C. Capela (F. Wagner gains possession),Jump ball: W. Carter vs. C. Capela (F. Wagner gains possession),Jump ball: W. Carter vs. C. Capela (F. Wagner gains possession),Jump ball: W. Carter vs. C. Capela (F. Wagner gains possession),Jump ball: W. Carter vs. C. Capela (F. Wagner gains possession)
2:58.0,,,73-74,,C. Capela enters the game for O. Okongwu
2:58.0,C. Anthony misses technical free throw,,73-74,,
2:58.0,Offensive rebound by Team,,73-74,,
2:43.0,T. Ross makes 2-pt jump shot from 12 ft,+2,75-74,,
2:24.0,,,75-76,+2,T. Young makes 2-pt jump shot from 8 ft (assist by J. Holiday)
2:15.0,Shooting foul by J. Holiday (drawn by T. Ross),,75-76,,
2:15.0,T. Ross makes free throw 1 of 2,+1,76-76,,
2:15.0,B. Bol enters the game for F. Wagner,,76-76,,
2:15.0,T. Ross makes free throw 2 of 2,+1,77-76,,
2:08.0,,,77-76,,Personal foul by T. Ross (drawn by T. Young)
2:08.0,,,77-77,+1,T. Young makes free throw 1 of 2
2:08.0,,,77-77,,A. Holiday enters the game for D. Hunter
2:08.0,,,77-78,+1,T. Young makes free throw 2 of 2
1:54.0,C. Okeke makes 3-pt jump shot from 26 ft (assist by M. Bamba),+3,80-78,,
1:32.0,,,80-80,+2,T. Young makes 2-pt jump shot from 19 ft (assist by A. Holiday)
1:16.0,C. Anthony misses 2-pt jump shot from 9 ft,,80-80,,
1:13.0,,,80-80,,Defensive rebound by C. Capela
1:07.0,,,80-80,,Turnover by T. Young (bad pass)
1:07.0,R. Hampton enters the game for T. Ross,,80-80,,
0:45.0,Turnover by B. Bol (traveling),,80-80,,
0:31.0,,,80-80,,T. Young misses 2-pt jump shot from 11 ft
0:28.0,,,80-80,,Offensive rebound by T. Young
0:25.0,,,80-80,,T. Young misses 2-pt layup from 3 ft
0:22.0,Defensive rebound by M. Bamba,,80-80,,
0:05.0,Shooting foul by J. Johnson (drawn by C. Anthony),,80-80,,
0:05.0,,,80-80,,Atlanta full timeout
0:05.0,,,80-80,,Instant Replay (Challenge: Ruling Stands)
0:05.0,C. Anthony misses free throw 1 of 2,,80-80,,
0:05.0,Offensive rebound by Team,,80-80,,
0:05.0,C. Anthony makes free throw 2 of 2,+1,81-80,,
0:00.0,,,81-80,,J. Holiday misses 3-pt jump shot from 25 ft
0:00.0,,,81-80,,Offensive rebound by Team
0:00.0,End of 3rd quarter,End of 3rd quarter,End of 3rd quarter,End of 3rd quarter,End of 3rd quarter
4th Q,4th Q,4th Q,4th Q,4th Q,4th Q
Time,Orlando,,Score,,Atlanta
12:00.0,Start of 4th quarter,Start of 4th quarter,Start of 4th quarter,Start of 4th quarter,Start of 4th quarter
11:39.0,C. Anthony makes 3-pt jump shot from 25 ft (assist by R. Hampton),+3,84-80,,
11:22.0,,,84-80,,J. Holiday misses 3-pt jump shot from 23 ft
11:20.0,Defensive rebound by B. Bol,,84-80,,
11:10.0,Personal foul by O. Okongwu (drawn by B. Bol),,84-80,,
11:10.0,,,84-80,,J. Collins enters the game for J. Johnson
11:02.0,M. Bamba misses 2-pt layup from 2 ft,,84-80,,
10:58.0,,,84-80,,Defensive rebound by J. Collins
10:53.0,,,84-82,+2,O. Okongwu makes 2-pt layup from 1 ft
10:28.0,M. Bamba misses 3-pt jump shot from 26 ft,,84-82,,
10:23.0,,,84-82,,Defensive rebound by O. Okongwu
